product_name,brand,category,price,rating,review_title,review_text,clean_text,review_date,verified_purchase,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_label,extracted_topics,n_topics
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Really good with minor issues,Bluetooth 5.3 makes the connection noticeably more stable than older glasses. Plug and play with my Samsung phone. Just works via USB-C. The directional audio means people around me can't hear what I'm playing.,bluetooth makes connection noticeably stable older glasses plug play samsung phone works via usbc directional audio means people around cant hear playing,2024-03-07,True,0.6901,0.178,0.0,positive,佩戴舒适|音频质量|充电方式|设备兼容|导航翻译|蓝牙稳定,6
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,3,Average experience,Feels overpriced compared to what you get. Maybe in 2 generations.,feels overpriced compared get maybe generations,2024-12-22,True,0.0,0.0,0.0,neutral,性价比,1
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Love these glasses!,"Super lightweight, I forget I'm wearing them after a few minutes. Nobody at work even realized they were smart glasses until I told them.",super lightweight forget wearing minutes nobody work even realized smart glasses told,2025-05-13,True,0.6908,0.249,0.072,positive,佩戴舒适,1
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Exceeded my expectations,"Replaced my earbuds for walks and errands, the audio is that good.",replaced earbuds walks errands audio good,2025-01-18,True,0.4404,0.209,0.0,positive,佩戴舒适|音频质量,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,3,Decent but overpriced,Meta AI is impressively smart. It identified a plant species from a photo. Wish there were more style options. Only a few frames available.,meta impressively smart identified plant species photo wish style options frames available,2024-03-24,True,0.8126,0.318,0.0,positive,相机质量|发热问题|外观设计|AI语音,4
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Great but not perfect,The directional audio means people around me can't hear what I'm playing. 12MP camera takes surprisingly sharp photos in good lighting.,directional audio means people around cant hear playing camera takes surprisingly sharp photos good lighting,2024-10-18,False,0.7096,0.277,0.0,positive,佩戴舒适|音频质量|相机质量|发热问题|导航翻译,5
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Great but not perfect,Appreciate the granular privacy controls in the app. Five microphones make a huge difference in noisy environments.,appreciate granular privacy controls app five microphones make huge difference noisy environments,2024-11-07,True,0.5106,0.254,0.086,positive,音频质量|App体验|用户隐私,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Exceeded my expectations,The nose pads are soft and don't leave marks. Really well designed. All AI features work perfectly in the US.,nose pads soft dont leave marks really well designed features work perfectly,2025-10-07,True,0.7744,0.313,0.0,positive,佩戴舒适|外观设计|AI语音,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,3,Decent but overpriced,Coworkers think I'm recording meetings. Creates trust issues.,coworkers think recording meetings creates trust issues,2024-01-06,False,0.6597,0.474,0.0,positive,相机质量|用户隐私|旁观者隐私|社会接受度,4
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Worth every penny,"Easy to get prescription lenses fitted at my local optician. Fast charging is a lifesaver, 15 minutes gives me a few more hours. The teleprompter feature is incredible for presentations.",easy get prescription lenses fitted local optician fast charging lifesaver minutes gives hours teleprompter feature incredible presentations,2024-10-14,True,0.7717,0.205,0.0,positive,电池续航|处方镜片|导航翻译,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Good value for the price,The AI translation feature saved me during my trip to Spain.,translation feature saved trip spain,2025-08-10,True,0.4215,0.219,0.0,positive,AI语音|导航翻译,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,1,Do not buy,"The ultra-wide lens distorts faces at close range. Software bugs from launch are still not fixed after 6 months. Prescription lens options are very limited, can't get progressives.",ultrawide lens distorts faces close range software bugs launch still fixed months prescription lens options limited cant get progressives,2025-08-02,True,-0.5563,0.0,0.155,negative,处方镜片|App体验|软件更新,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Exceeded my expectations,"Call quality is excellent, people can't even tell I'm on glasses. Got positive reactions everywhere. People think they look cool.",call quality excellent people cant even tell glasses got positive reactions everywhere people think look cool,2023-11-18,False,0.8625,0.361,0.0,positive,音频质量|外观设计,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Worth every penny,"Considering what you get, the price is actually reasonable. Plug and play with my Samsung phone. Just works via USB-C. Apple Music, Audible, and Spotify all work great.",considering get price actually reasonable plug play samsung phone works via usbc apple music audible spotify work great,2024-05-21,True,0.7579,0.2,0.0,positive,音频质量|充电方式|App体验|设备兼容|性价比|第三方应用,6
